pid,first_name,last_name,party,state
C001063,Henry,Cuellar,Democrat,TX
C001064,John,Campbell,Republican,CA
C001065,Christopher,Carney,Democrat,PA
C001066,Kathy,Castor,Democrat,FL
C001067,Yvette,Clarke,Democrat,NY
C001068,Steve,Cohen,Democrat,TN
C001069,Joe,Courtney,Democrat,CT
C001070,Robert,Casey,Democrat,PA
C001071,Bob,Corker,Republican,TN
C001072,André,Carson,Democrat,IN
C001074,Travis,Childers,Democrat,MS
C001075,Bill,Cassidy,Republican,LA
C001076,Jason,Chaffetz,Republican,UT
C001077,Mike,Coffman,Republican,CO
C001078,Gerald,Connolly,Democrat,VA
C001079,Anh,Cao,Republican,LA
C001080,Judy,Chu,Democrat,CA
C001081,Mark,Critz,Democrat,PA
C001082,Francisco,Canseco,Republican,TX
C001083,John,Carney,Democrat,DE
C001084,David,Cicilline,Democrat,RI
C001085,Hansen,Clarke,Democrat,MI
C001086,Chip,Cravaack,Republican,MN
C001087,Eric,Crawford,Republican,AR
C001088,Chris,Coons,Democrat,DE
C001089,David,Curson,Democrat,MI
C001090,Matthew,Cartwright,Democrat,PA
C001091,Joaquin,Castro,Democrat,TX
C001092,Chris,Collins,Republican,NY
C001093,Doug,Collins,Republican,GA
C001094,Paul,Cook,Republican,CA
C001095,Tom,Cotton,Republican,AR
C001096,Kevin,Cramer,Republican,ND
C001097,Tony,Cárdenas,Democrat,CA
C001098,Ted,Cruz,Republican,TX
C001099,William,Cowan,Democrat,MA
C001100,Jeffrey,Chiesa,Republican,NJ
C001101,Katherine,Clark,Democrat,MA
C001102,Curtis,Clawson,Republican,FL
C001103,Buddy,Carter,Republican,GA
C001105,Barbara,Comstock,Republican,VA
C001106,Ryan,Costello,Republican,PA
C001107,Carlos,Curbelo,Republican,FL
D000096,Danny,Davis,Democrat,IL
D000168,Nathan,Deal,Democrat,GA
D000191,Peter,DeFazio,Democrat,OR
D000197,Diana,DeGette,Democrat,CO
D000210,William,Delahunt,Democrat,MA
D000216,Rosa,DeLauro,Democrat,CT
D000299,Lincoln,Diaz-Balart,Republican,FL
D000327,Norman,Dicks,Democrat,WA
D000355,John,Dingell,Democrat,MI
D000388,Christopher,Dodd,Democrat,CT
D000399,Lloyd,Doggett,Democrat,TX
D000432,Byron,Dorgan,Democrat,ND
D000482,Michael,Doyle,Democrat,PA
D000492,David,Dreier,Republican,CA
D000533,John,Duncan,Republican,TN
D000563,Richard,Durbin,Democrat,IL
D000595,Jim,DeMint,Republican,SC
D000598,Susan,Davis,Democrat,CA
D000599,Lincoln,Davis,Democrat,TN
D000600,Mario,Diaz-Balart,Republican,FL
