pid,first_name,last_name,party,state
R000602,Kathleen,Rice,Democrat,NY
R000603,David,Rouzer,Republican,NC
R000604,Steve,Russell,Republican,OK
R000605,Mike,Rounds,Republican,SD
S000018,Matt,Salmon,Republican,AZ
S000030,Loretta,Sanchez,Democrat,CA
S000033,Bernard,Sanders,Independent,VT
S000051,Marshall,Sanford,Republican,SC
S000148,Charles,Schumer,Democrat,NY
S000185,Robert,Scott,Democrat,VA
S000244,F.,Sensenbrenner,Republican,WI
S000248,José,Serrano,Democrat,NY
S000250,Pete,Sessions,Republican,TX
S000275,John,Shadegg,Republican,AZ
S000320,Richard,Shelby,Democrat,AL
S000344,Brad,Sherman,Democrat,CA
S000364,John,Shimkus,Republican,IL
S000465,Ike,Skelton,Democrat,MO
S000480,Louise,Slaughter,Democrat,NY
S000510,Adam,Smith,Democrat,WA
S000522,Christopher,Smith,Republican,NJ
S000583,Lamar,Smith,Republican,TX
S000663,Olympia,Snowe,Republican,ME
S000672,Victor,Snyder,Democrat,AR
S000709,Arlen,Specter,Democrat,PA
S000749,John,Spratt,Democrat,SC
S000770,Debbie,Stabenow,Democrat,MI
S000810,Fortney,Stark,Democrat,CA
S000822,Clifford,Stearns,Republican,FL
S000937,Steve,Stockman,Republican,TX
S001045,Bart,Stupak,Democrat,MI
S001141,Jefferson,Sessions,Republican,AL
S001143,Mark,Souder,Republican,IN
S001145,Janice,Schakowsky,Democrat,IL
S001148,Michael,Simpson,Republican,ID
S001150,Adam,Schiff,Democrat,CA
S001153,Hilda,Solis,Democrat,CA
S001154,Bill,Shuster,Republican,PA
S001155,John,Sullivan,Republican,OK
S001156,Linda,Sánchez,Democrat,CA
S001157,David,Scott,Democrat,GA
S001158,John,Salazar,Democrat,CO
S001162,Allyson,Schwartz,Democrat,PA
S001163,Ken,Salazar,Democrat,CO
S001164,Jean,Schmidt,Republican,OH
S001165,Albio,Sires,Democrat,NJ
S001168,John,Sarbanes,Democrat,MD
S001169,Joe,Sestak,Democrat,PA
S001170,Carol,Shea-Porter,Democrat,NH
S001171,Heath,Shuler,Democrat,NC
S001172,Adrian,Smith,Republican,NE
S001173,Zachary,Space,Democrat,OH
S001174,Betty,Sutton,Democrat,OH
S001175,Jackie,Speier,Democrat,CA
S001176,Steve,Scalise,Republican,LA
S001177,Gregorio,Sablan,Democrat,MP
S001178,Mark,Schauer,Democrat,MI
S001179,Aaron,Schock,Republican,IL
S001180,Kurt,Schrader,Democrat,OR
S001181,Jeanne,Shaheen,Democrat,NH
S001182,Robert,Schilling,Republican,IL
S001183,David,Schweikert,Republican,AZ
S001184,Tim,Scott,Republican,SC
S001185,Terri,Sewell,Democrat,AL
S001186,Steve,Southerland,Republican,FL
S001187,Steve,Stivers,Republican,OH
S001188,Marlin,Stutzman,Republican,IN
S001189,Austin,Scott,Republican,GA
S001190,Bradley,Schneider,Democrat,IL
S001191,Kyrsten,Sinema,Democrat,AZ
S001192,Chris,Stewart,Republican,UT
S001193,Eric,Swalwell,Democrat,CA
S001194,Brian,Schatz,Democrat,HI
S001195,Jason,Smith,Republican,MO
S001196,Elise,Stefanik,Republican,NY
S001197,Benjamin,Sasse,Republican,NE
S001198,Dan,Sullivan,Republican,AK
T000038,John,Tanner,Democrat,TN
T000057,Ellen,Tauscher,Democrat,CA
T000074,Gene,Taylor,Democrat,MS
T000193,Bennie,Thompson,Democrat,MS
T000238,Mac,Thornberry,Republican,TX
T000250,John,Thune,Republican,SD
T000260,Todd,Tiahrt,Republican,KS
T000266,John,Tierney,Democrat,MA
T000326,Edolphus,Towns,Democrat,NY
T000459,Lee,Terry,Republican,NE
T000460,Mike,Thompson,Democrat,CA
T000461,Patrick,Toomey,Republican,PA
T000462,Patrick,Tiberi,Republican,OH
T000463,Michael,Turner,Republican,OH
T000464,Jon,Tester,Democrat,MT
T000465,Niki,Tsongas,Democrat,MA
T000466,Harry,Teague,Democrat,NM
T000467,Glenn,Thompson,Republican,PA
T000468,Dina,Titus,Democrat,NV
T000469,Paul,Tonko,Democrat,NY
T000470,Scott,Tipton,Republican,CO
T000471,Robert,Turner,Republican,NY
T000472,Mark,Takano,Democrat,CA
T000473,Mark,Takai,Democrat,HI
T000474,Norma,Torres,Democrat,CA
T000475,Dave,Trott,Republican,MI
T000476,Thom,Tillis,Republican,NC
U000031,Fred,Upton,Republican,MI
U000038,Mark,Udall,Democrat,CO
U000039,Tom,Udall,Democrat,NM
V000081,Nydia,Velázquez,Democrat,NY
V000108,Peter,Visclosky,Democrat,IN
V000126,George,Voinovich,Republican,OH
V000127,David,Vitter,Republican,LA
V000128,Chris,Van Hollen,Democrat,MD
V000129,David,Valadao,Republican,CA
V000130,Juan,Vargas,Democrat,CA
V000131,Marc,Veasey,Democrat,TX
V000132,Filemon,Vela,Democrat,TX
W000119,Zach,Wamp,Republican,TN
W000187,Maxine,Waters,Democrat,CA
W000207,Melvin,Watt,Democrat,NC
W000215,Henry,Waxman,Democrat,CA
W000314,Robert,Wexler,Democrat,FL
W000413,Ed,Whitfield,Republican,KY
W000437,Roger,Wicker,Republican,MS
W000672,Frank,Wolf,Republican,VA
W000738,Lynn,Woolsey,Democrat,CA
W000779,Ron,Wyden,Democrat,OR
W000791,Greg,Walden,Republican,OR
W000792,Anthony,Weiner,Democrat,NY
W000793,David,Wu,Democrat,OR
W000794,Diane,Watson,Democrat,CA
W000795,Joe,Wilson,Republican,SC
W000796,Lynn,Westmoreland,Republican,GA
W000797,Debbie,Wasserman Schultz,Democrat,FL
W000798,Tim,Walberg,Republican,MI
W000799,Timothy,Walz,Democrat,MN
W000800,Peter,Welch,Democrat,VT
W000801,Charles,Wilson,Democrat,OH
W000802,Sheldon,Whitehouse,Democrat,RI
W000803,Jim,Webb,Democrat,VA
W000804,Robert,Wittman,Republican,VA
W000805,Mark,Warner,Democrat,VA
W000806,Daniel,Webster,Republican,FL
W000807,Allen,West,Republican,FL
W000808,Frederica,Wilson,Democrat,FL
W000809,Steve,Womack,Republican,AR
W000810,Rob,Woodall,Republican,GA
W000811,Joe,Walsh,Republican,IL
W000812,Ann,Wagner,Republican,MO
W000813,Jackie,Walorski,Republican,IN
W000814,Randy,Weber,Republican,TX
W000815,Brad,Wenstrup,Republican,OH
W000816,Roger,Williams,Republican,TX
W000817,Elizabeth,Warren,Democrat,MA
W000818,John,Walsh,Democrat,MT
W000819,Mark,Walker,Republican,NC
W000820,Mimi,Walters,Republican,CA
W000821,Bruce,Westerman,Republican,AR
W000822,Bonnie,Watson Coleman,Democrat,NJ
Y000031,C.,Young,Republican,FL
Y000033,Don,Young,Republican,AK
Y000062,John,Yarmuth,Democrat,KY
Y000063,Kevin,Yoder,Republican,KS
Y000064,Todd,Young,Republican,IN
Y000065,Ted,Yoho,Republican,FL
Y000066,David,Young,Republican,IA
Z000017,Lee,Zeldin,Republican,NY
Z000018,Ryan,Zinke,Republican,MT
